player_name,team,position
João Cancelo,Manchester City,DF
Julián Álvarez,Manchester City,FW
Aymeric Laporte,Manchester City,DF
Rico Lewis,Manchester City,DF
Cole Palmer,Manchester City,MF
Sergio Gómez,Manchester City,DF
Kalvin Phillips,Manchester City,MF
Shea Charles,Manchester City,DF
David de Gea,Manchester United,GK
Bruno Fernandes,Manchester United,MF
Marcus Rashford,Manchester United,FW
Luke Shaw,Manchester United,DF
Christian Eriksen,Manchester United,MF
Diogo Dalot,Manchester United,DF
Casemiro,Manchester United,MF
Lisandro Martínez,Manchester United,DF
Antony,Manchester United,FW
Raphaël Varane,Manchester United,DF
Jadon Sancho,Manchester United,FW
Aaron Wan-Bissaka,Manchester United,DF
Tyrell Malacia,Manchester United,DF
Victor Lindelöf,Manchester United,DF
Fred,Manchester United,MF
Anthony Martial,Manchester United,FW
Scott McTominay,Manchester United,MF
Wout Weghorst,Manchester United,FW
Harry Maguire,Manchester United,DF
Marcel Sabitzer,Manchester United,MF
Alejandro Garnacho,Manchester United,FW
Anthony Elanga,Manchester United,FW
Cristiano Ronaldo,Manchester United,FW
Donny van de Beek,Manchester United,MF
Kieran Trippier,Newcastle United,DF
Nick Pope,Newcastle United,GK
Fabian Schär,Newcastle United,DF
Sven Botman,Newcastle United,DF
Dan Burn,Newcastle United,DF
Bruno Guimarães,Newcastle United,MF
Joe Willock,Newcastle United,MF
Joelinton,Newcastle United,MF
Miguel Almirón,Newcastle United,FW
Sean Longstaff,Newcastle United,MF
Callum Wilson,Newcastle United,FW
Alexander Isak,Newcastle United,FW
Jacob Murphy,Newcastle United,FW
Allan Saint-Maximin,Newcastle United,FW
Matt Targett,Newcastle United,DF
Anthony Gordon,Newcastle United,FW
Chris Wood,Newcastle United,FW
Elliot Anderson,Newcastle United,MF
Ryan Fraser,Newcastle United,FW
Jamaal Lascelles,Newcastle United,DF
Martin Dúbravka,Newcastle United,GK
Matt Ritchie,Newcastle United,FW
Javier Manquillo,Newcastle United,DF
Jonjo Shelvey,Newcastle United,MF
Morgan Gibbs-White,Nottingham Forest,MF
Brennan Johnson,Nottingham Forest,FW
Renan Lodi,Nottingham Forest,DF
Remo Freuler,Nottingham Forest,MF
Serge Aurier,Nottingham Forest,DF
Joe Worrall,Nottingham Forest,DF
Ryan Yates,Nottingham Forest,MF
Neco Williams,Nottingham Forest,DF
Orel Mangala,Nottingham Forest,MF
Scott McKenna,Nottingham Forest,DF
Taiwo Awoniyi,Nottingham Forest,FW
Felipe,Nottingham Forest,DF
Moussa Niakhate,Nottingham Forest,DF
Danilo,Nottingham Forest,MF
Jesse Lingard,Nottingham Forest,FW
Steve Cook,Nottingham Forest,DF
Cheikhou Kouyaté,Nottingham Forest,MF
Harry Toffolo,Nottingham Forest,DF
Willy Boly,Nottingham Forest,DF
Emmanuel Dennis,Nottingham Forest,FW
Lewis O'Brien,Nottingham Forest,MF
Jonjo Shelvey,Nottingham Forest,MF
Chris Wood,Nottingham Forest,FW
Jack Colback,Nottingham Forest,MF
Wayne Hennessey,Nottingham Forest,GK
Gustavo Scarpa,Nottingham Forest,MF
Sam Surridge,Nottingham Forest,FW
André Ayew,Nottingham Forest,FW
Giulian Biancone,Nottingham Forest,DF
Alexander Mighten,Nottingham Forest,FW
James Ward-Prowse,Southampton,MF
Gavin Bazunu,Southampton,GK
Kyle Walker-Peters,Southampton,DF
Mohamed Elyounoussi,Southampton,MF
Roméo Lavia,Southampton,MF
Armel Bella Kotchap,Southampton,DF
Che Adams,Southampton,FW
Romain Perraud,Southampton,DF
Mohammed Salisu,Southampton,DF
Jan Bednarek,Southampton,DF
Stuart Armstrong,Southampton,MF
Adam Armstrong,Southampton,FW
Ainsley Maitland-Niles,Southampton,DF
Joe Aribo,Southampton,MF
Theo Walcott,Southampton,FW
Carlos Alcaraz,Southampton,MF
Lyanco,Southampton,DF
Ibrahima Diallo,Southampton,MF
Kamaldeen Sulemana,Southampton,FW
Duje Ćaleta-Car,Southampton,DF
Moussa Djenepo,Southampton,DF
Alex McCarthy,Southampton,GK
Samuel Edozie,Southampton,FW
Sekou Mara,Southampton,FW
Paul Onuachu,Southampton,FW
James Bree,Southampton,DF
Juan Larios,Southampton,DF
Jack Stephens,Southampton,DF
Samuel Amo-Ameyaw,Southampton,MF
Harry Kane,Tottenham Hotspur,FW
Pierre Højbjerg,Tottenham Hotspur,MF
Son Heung-min,Tottenham Hotspur,MF
Eric Dier,Tottenham Hotspur,DF
Cristian Romero,Tottenham Hotspur,DF
Ben Davies,Tottenham Hotspur,DF
